"geo","ref_year","avg_employment","prev_year","yoy_pct_change"
"Canada",2022,3320.7000000000000000,3189.4818181818181818,4.11
"Canada",2023,3419.2363636363636364,3320.7000000000000000,2.97
"Canada",2024,3488.2090909090909091,3419.2363636363636364,2.02
"Canada",2025,3546.3454545454545455,3488.2090909090909091,1.67
"Ontario",2022,1318.5454545454545455,1256.1727272727272727,4.97
"Ontario",2023,1358.8181818181818182,1318.5454545454545455,3.05
"Ontario",2024,1382.8636363636363636,1358.8181818181818182,1.77
"Ontario",2025,1396.1545454545454545,1382.8636363636363636,0.96
