"ref_year","canada_employment","ontario_employment","ontario_share_pct"
2021,3189.4818181818181818,1256.1727272727272727,39.38
2022,3320.7000000000000000,1318.5454545454545455,39.71
2023,3419.2363636363636364,1358.8181818181818182,39.74
2024,3488.2090909090909091,1382.8636363636363636,39.64
2025,3546.3454545454545455,1396.1545454545454545,39.37
